term|definition
ACTUATOR SOLENOID|The solenoid in the actuator housing on the back of the injection pump which moves the control rack as commanded by the engine controller.
ALTERNATOR|A device which converts mechanical energy into electrical energy.
ALTERNATING CURRENT (AC)|A flow of electrons which reverses its direction of flow at regular intervals in a conductor.
AMBIENT TEMPERATURE|The temperature of the surrounding medium, such as gas, air or liquid, which comes into contact with a particular component.
AMMETER|An instrument for measuring the flow of electrical current in amperes. Ammeters are always connected in series with the circuit to be tested.
AMPERE|A unit of measure for the flow of current in a circuit. One ampere is the amount of current flow provided when one volt of electrical pressure is applied against one ohm of resistance. The ampere is used to measure electricity much as "gallons per minute" is used to measure water flow.
AMPERE-HOUR|A unit of measure for battery capacity. It is obtained by multiplying the current (in amperes) by the time (in hours) during which current flows. For example, a battery which provides 5 amperes for 20 hours is said to deliver 100 ampere - hours.
AMPLIFIER|A device of electronic components used to increase power, voltage, or current of a signal.
AMPLITUDE|A term used to describe the maximum value of a pulse or wave. It is the crest value measured from zero.
ANALOG IC|lntegrated circuits composed to produce, amplify, or respond to variable voltages. They include many kinds of amplifiers that involve analog - to - digital conversions and vice versa, timers, and inverters. They are known as Operational Amplifier Circuits or OP - Amps.
ANALOG GAUGE|A display device utilizing a varying current to cause a mechanical change in the position of its needle.
ARMATURE|The movable part of a generator or motor. It is made up of conductors which rotate through a magnetic field to provide voltage or force by electromagnetic induction. The pivoted points in generator regulators are also called armatures.
ARTIFICIAL MAGNETS|A magnet which has been magnetized by artificial means. It is also called, according to shape, a bar magnet or a horseshoe magnet.
ATOM|A particle which is the smallest unit of a chemical element. It is made up mainly of electrons (minus charges) in orbit around protons (positive charges).
AUXiliARY SPEED SENSOR|The engine speed sensor located on the engine timing gear cover. It serves as a back - up to the primary engine speed sensor.
BENDIX DRIVE|One type flywheel engaging device for a starting motor. It is said to be mechanical because it engages by inertia.
BREAK|See "Open."
BRUSH|A device which rubs against a rotating slip ring or commutator to provide a passage for electric current to a stationary conductor.
CALIBRATION|The determination or rectification of the graduations used on a testing instrument.
CAPACITOR|A device which stores electrical energy. Commonly used for filtering out voltage spikes.
CHARGE|To restore the active materials in a storage battery by the passage of direct current through the battery cells in a direction opposite that of the discharging current.
CURRENT|Movement of electricity along a conductor. Current is measured in amperes.
CURRENT FLOW|The flow or movement of electrons from atom to atom in a conductor.
CYCLE|The change in an alternating electrical sine wave from zero to a positive peak to zero to a negative peak and back to zero.
CYCLING|The process by which a battery is discharged and recharged.
DIAGNOSTIC CODE|A number which represents a problem detected by the engine controller. Diagnostic codes are transmitted for use by on - board displays or a diagnostic reader so the operator or technician is aware there is a problem and in what part of the fuel injection system the problem can be found.
DIFFERENTIATOR CIRCUIT|A circuit that consists of resistors and capacitors designed to change a DC input to an AC output. It is used to make narrow pulse generators and to trigger digital logic circuits. When used in integrated circuits it is known as an inverter.
DIGITAL IC|lntegrated circuits that produce logic voltage signals or pulses that have only two levels of output that are either ON or OFF (yes or no). Some component output examples are: Diagnostic Codes Output, Pulse - Width - Modulated (PWM) Throttle Output, Auxiliary Speed Output, and Fuel FlowfThrottle Output.
DIODE|An electrical device that will allow current to pass through itself in one direction only. Also see "Zener diode."
DIRECT CURRENT (DC)|A steady flow of electrons moving steadily and continually in the same direction along a conductor from a point of high potential to one of lower potential. It is produced by a battery, generator, or rectifier.
DISCHARGE|To remove electrical energy from a charged body such as a capacitor or battery.
DISTRIBUTOR (IGNITION)|A device which directs the high voltage of the ignition coil to the engine spark plugs.
DISTRIBUTOR LEAD CONNECTOR|A connection plug in the wires that lead from the sensor in the distributor to the electronic control unit.
DYER DRIVE|One type of flywheel engaging mechanism in a starting motor.
ELECTRICAL FIELD|The region around a charged body in which the charge has an effect.
ELECTRICITY|The flow of electrons from atom to atom in a conductor.
ELECTROCHEMICAL|The relationship of electricity to chemical changes and with the conversions of chemical and electrical energy. A battery is an electrochemical device.
ELECTRO-HYDRAULIC VALVE|A hydraulic valve actuated by a solenoid through variable voltage applied to the solenoid coil.
ELECTROLYTE|Any substance which, in solution, is dissociated into ions and is thus made capable of conducting an electrical current. The sulfuric acid - water solution in a storage battery is an electrolyte.
ELECTROMAGNET|core of magnetic material, generally soft iron, surrounded by a coil of wire through which electrical current is passed to magnetize the core.
ELECTROMAGNETIC CLUTCH|An electromagnetic device which stops the operation of one part of a machine while other parts of the unit keep on operating.
ELECTROMAGNETIC FIELD|The magnetic field about a conductor created by the flow of electrical current through it.
ELECTROMAGNETIC INDUCTION|The process by which voltage is induced in a conductor by varying the magnetic field so that lines of force cut across the conductor.
ELECTRON|A tiny particle which rotates around the nucleus of an atom. It has a negative charge of electricity.
ELECTRON THEORY|The theory which explains the nature of electricity and the exchange of "free" electrons between atoms of a conductor. It is also used as one theory to explain direction of current flow in a circuit.
ELECTRONICS|The control of electrons (electricity) and the study of their behavior and effects. This control is accomplished by devices that resist, carry, select, steer, switch, store, manipulate, and exploit the electron.
ELECTRONIC CONTROL UNIT (ECU)|General term for any electronic controller. See "controller:'
ELECTRONIC GOVERNOR|The computer program within the engine controller which deterines the commanded fuel delivery based on throttle command, engine speed, and fuel temperature. It replaces the function of a mechanical govnor.
ELECTRONIC IGNITION SYSTEM|A system in which the timing of the ignition spark is controlled electronically. Electronic ignition systems have no points or condenser, but instead have a reluctor, sensor, and electronic control unit.
ELEMENT|(1) Any substance that normally cannot be separated into different substances. (2) The completed assembly of a battery consisting of negative plates, positive plates, and separators mounted in a cell compartment.
ENGINE CONTROLLER|The electronic module which controls fuel delivery, diagnostic outputs, back - up operation, and communications with other electronic modules.
FIELD EFFECT TRANSISTOR (FET)|A transistor which uses voltage to control the flow of current. Connections are the source (input), drain (output) and gate (control).
FIXED RESISTOR|A resistor which has only one resistance value.
FREOUENCY|The number of pulse or wave cycles that are completed in one second. Frequency is measured in Hertz, as in 60Hz (hertz) per second.
FUNDAMENTAL LAW OF MAGNETISM|The fundamental law of magnetism is that unlike poles attract each other, and like poles repel each other.
FUSE|A replaceable safety device for an electrical circuit. A fuse consists of a fine wire or a thin metal strip encased in glass or some fireresistant material. When an overload occurs in the circuit, the wire or metal strip melts, breaking the circuit.
GATE|A logic circuit device which makes a YES or NO (one or zero) decision (output) based on two or more inputs.
GENERATOR|A device which converts mechanical energy into electrical energy.
GRID|A wire mesh to which the active materials of a storage battery are attached.
GROUND|A ground occurs when any part of a wiring circuit unintentionally touches a metallic part of the machine frame.
GROUNDED CIRCUIT|A connection of any electrical unit to the frame, engine, or any part of the tractor or machine, completing the electrical circuit to its source.
GROWLER|A device for testing the armature of a generator or motor.
HYDROMETER|An instrument for measuring specific gravity. A hydrometer is used to test the specific gravity of the electrolyte in a battery.
IGNITION CONTROL UN IT|The module that contains the transistors and resistors that controls the electronic ignition.
INDUCTANCE|The property of an electric circuit by which an electromotive force (voltage) is induced in it by a variation of current either in the circuit itself or in a neighboring circuit.
INDUCTOR|A coil of wire wrapped around an iron core.
INSULATED GATE FIELD EFFECT TRANSISTOR (IGFET)|A diffused transistor which has an insulated gate and almost infinite gate - channel resistance.
INSULATOR|A substance or body that resists the flow of electrical current through it. Also see "Conductor:'
INTEGRATED CIRCUIT (IC)|An electronic circuit which utilizes resistors, capacitors, diodes, and transistors to perform various types of operations. The two major types are Analog and Digital Integrated Circuits. Also see "Analog IC" and "DigitaI IC."
INTEGRATOR CIRCUIT|A circuit that consists of resistors and capacitors and functions as a filter which can pass signals only below a certain frequency.
INVERTER|A device with only one input and one output; it inverts or reverses any input.
ION|An atom having either a shortage or excess of electrons.
ISOLATION DIODE|A diode placed between the battery and the alternator. It blocks any current flow from the battery back through the alternator regulator when the alternator is not operating.
LIGHT EMITTING DIODE (LED)|A solid - state display device that emits infrared light when a forward - biased current flows through it.
LINES OF FORCE|Invisible lines which conveniently illustrate the characteristics of a magnetic field and magnetic flux about a magnet.
LIQUID CRYSTAL DISPLAY (LCD)|A display device utilizing a special crystal fluid to allow segmented displays.
MAGNET|A body which has the property of at. tracting iron or other magnets. Its molecules are aligned.
MAGNETIC FIELD|That area near a magnet in which its property of magnetism can be detected. It is shown by magnetic lines of force.
MAGNETIC FLUX|The flow of magnetism about a magnet exhibited by magnetic lines of force in a magnetic field.
MAGNETIC INDUCTION|The process of introducing magnetism into a bar of iron or other magnetic material.
MAGNETIC LINES OF FORCE|Invisible lines which conveniently illustrate the characteristics of a magnetic field and magnetic flux about a magnet.
MAGNETIC MATERIAL|Any material to whose molecules the property of magnetism can be imparted.
MAGNETIC NORTH|The direction sought by the north pole end of a magnet, such as a magnetic needle, in a horizontal position. It is near the geographic north pole of the Earth.
MAGNETIC PICKUP ASSEMBLY|The assembly in a self - integrated electronic ignition system that contains a permanent magnet, a pole piece with internal teeth, and a pickup coil. These parts, when properly aligned, cause the primary circuit to switch off and induce high voltage in the secondary windings.
MAGNETIC SOUTH|The opposite direction from magnetic north towards which the south pole end of a magnet, such as a magnetic needle, is attracted when in a horizontal position. It is near the geographic south pole of the Earth.
